coverage	CpG_count
1	1697696
2	2295488
3	2998221
4	3689772
5	4281811
6	4695687
7	4879445
8	4818685
9	4538089
10	4086416
11	3537525
12	2963575
13	2403254
14	1901133
15	1473462
16	1121230
17	844160
18	626943
19	463708
20	339597
21	248363
22	181499
23	131848
24	96124
25	69369
26	50022
27	36609
28	26915
29	19699
30	14527
31	10965
32	8389
33	6724
34	5460
35	4433
36	3745
37	3423
38	3053
39	2851
40	2600
41	2446
42	2372
43	2285
44	2184
45	2197
46	2116
47	2028
48	2047
49	1955
50	1948
51	1894
52	1848
53	1759
54	1848
55	1822
56	1696
57	1604
58	1624
59	1583
60	1557
61	1452
62	1506
63	1463
64	1396
65	1462
66	1344
67	1357
68	1370
69	1282
70	1271
71	1268
72	1218
73	1193
74	1165
75	1203
76	1134
77	1142
78	1140
79	1099
80	1131
81	1063
82	1051
83	1061
84	1036
85	994
86	1002
87	954
88	904
89	836
90	873
91	777
92	750
93	753
94	701
95	700
96	688
97	651
98	628
99	644
100	565
101	543
102	570
103	510
104	490
105	430
106	445
107	425
108	418
109	398
110	387
111	412
112	373
113	351
114	381
115	357
116	334
117	318
118	319
119	324
120	313
121	280
122	294
123	254
124	267
125	269
126	228
127	247
128	242
129	231
130	229
131	230
132	214
133	254
134	220
135	224
136	199
137	232
138	192
139	221
140	198
141	198
142	203
143	180
144	171
145	166
146	190
147	173
148	175
149	161
150	160
151	154
152	155
153	142
154	128
155	143
156	157
157	137
158	130
159	131
160	128
161	129
162	104
163	104
164	115
165	117
166	105
167	103
168	82
169	81
170	81
171	91
172	84
173	72
174	79
175	73
176	61
177	56
178	68
179	52
180	68
181	63
182	70
183	51
184	44
185	47
186	47
187	36
188	44
189	48
190	26
191	39
192	43
193	36
194	35
195	37
196	33
197	27
198	29
199	48
200	41
201	36
202	31
203	27
204	32
205	32
206	30
207	40
208	28
209	29
210	24
211	24
212	34
213	22
214	26
215	25
216	19
217	25
218	22
219	24
220	24
221	14
222	22
223	25
224	22
225	19
226	26
227	29
228	20
229	19
230	24
231	24
232	18
233	16
234	14
235	19
236	24
237	15
238	13
239	15
240	21
241	20
242	9
243	25
244	20
245	12
246	25
247	14
248	17
249	28
250	12
251	14
252	14
253	29
254	28
255	14
256	14
257	21
258	16
259	20
260	20
261	21
262	26
263	14
264	23
265	12
266	16
267	9
268	9
269	17
270	14
271	11
272	10
273	19
274	10
275	16
276	15
277	19
278	18
279	9
280	13
281	10
282	13
283	13
284	11
285	15
286	20
287	23
288	14
289	20
290	23
291	17
292	13
293	8
294	16
295	18
296	17
297	11
298	9
299	13
300	12
301	8
302	19
303	19
304	12
305	18
306	13
307	8
308	11
309	9
310	17
311	11
312	11
313	15
314	14
315	14
316	13
317	8
318	17
319	13
320	17
321	13
322	9
323	14
324	13
325	5
326	4
327	14
328	8
329	13
330	10
331	14
332	4
333	13
334	15
335	9
336	20
337	13
338	8
339	7
340	5
341	12
342	7
343	9
344	13
345	13
346	10
347	9
348	4
349	12
350	11
351	13
352	10
353	7
354	17
355	10
356	4
357	10
358	7
359	4
360	9
361	11
362	7
363	4
